Company_IRI;Company Name;Industry_IRI;Industry;Address_IRI;Full Address;Street_IRI;Street;Norm_Street_IRI;Normalized Street;House Number;Part of House;House Floor;Building_IRI;Building;BuildPart_IRI;BuildingPart;BuildPartFloor_IRI;BuildingPartFloor;Owner_Address_IRI;Full Owner Address;Owner_Street_IRI;Owner Street;Norm_Owner_Street_IRI;Normalized Owner Street;Owner Number;Street_Coordinates
company_123;Farnbacher,Buchdr. R. Stich;;;address_16290;Augustinerstraße 32;street_21;Augustinerstraße;street_21;Augustinerstraße;32;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_124;HNllmann St. Reklamearrikel;;;address_16290;Augustinerstraße 32;street_21;Augustinerstraße;street_21;Augustinerstraße;32;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_128;Artikeln;;;address_16292;Augustinerstraße 34;street_21;Augustinerstraße;street_21;Augustinerstraße;34;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_129;Müller. Kistenschreiner;;;address_16293;Augustinerstraße 35;street_21;Augustinerstraße;street_21;Augustinerstraße;35;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_160;Blum C. F. Kunstm.;;;address_16312;Bauvereinstraße 32;street_27;Bauvereinstraße;;;32;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_174;Dagno lo Mchalkf.;;;address_16321;Bauvereinstraße 2;street_27;Bauvereinstraße;;;2;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_182;Barth EH. Sargmag.;;;address_16321;Bauvereinstraße 2;street_27;Bauvereinstraße;;;2;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_217;Reulcin. Blech Ipielwarcnfabrikt.;;;address_16297;Bauvereinstraße 18;street_27;Bauvereinstraße;;;18;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_225;Drechsel, Arnstein H. E. Kurzu. Spielw.-Erprtg.;;;address_16332;Bauvereinstraße 27;street_27;Bauvereinstraße;;;27;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_229;Zentner Kissinger Portefeuille- u. Taschenbürstensabrik;;;address_16337;Bleiweisstraße 4;street_32;Bleiweisstraße;;;4;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_239;Steinbrecher A. Schuhmachermeister;;;address_16345;Breite Gasse 5;street_37;Breite Gasse;street_37;Breite Gasse;5;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_253;Infam Prinoth Kurz- und Spielrvaren;;;address_16357;Breite Gasse 59;street_37;Breite Gasse;street_37;Breite Gasse;59;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_306;Gutkind Einstein Wag.-u. Pferdedecken fabr. u. -Handl. Löhner E. Flaschnerswe.;;;address_16388;Breite Gasse 77;street_37;Breite Gasse;street_37;Breite Gasse;77;Vorderhaus;2.0;;;;;;;address_16205;;;;;;;
company_307;Bayer Reiseandenkenfabr. Inh. Fr. springer;;;address_16366;Breite Gasse 85;street_37;Breite Gasse;street_37;Breite Gasse;85;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_324;Lppstadt Gebr. Zigareltenfabr. u. Handel;;;address_16393;Breite Gasse 12;street_37;Breite Gasse;street_37;Breite Gasse;12;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_326;Appar.;;;address_16347;Breite Gasse 10;street_37;Breite Gasse;street_37;Breite Gasse;10;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_340;Spear S. Kunstoerlagsansta  Luxuspapierwaren- u. Kartonnagenverfertiger;;;address_16404;Cramergasse 4;street_49;Cramergasse;;;4;Vorderhaus;2.0;;;;;;;address_16205;;;;;;;
company_346;Wölfel Kropf Neparaturwerkst. u. Garage;;;address_16406;Cramergasse 3;street_49;Cramergasse;;;3;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_369;Huck CH. Mechau.;;;address_16425;Dürer-Platz 3;street_63;Dürer-Platz;;;3;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-201.jpg, HEIGHT:52.0, WIDTH:280.0, VPOS:928.0, HPOS:2014.0
company_370;Johannes CH. Kunstschlosser;;;address_16425;Dürer-Platz 3;street_63;Dürer-Platz;;;3;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-201.jpg, HEIGHT:52.0, WIDTH:280.0, VPOS:928.0, HPOS:2014.0
company_372;Fischer G. F. Bronzesarbenfabrikant;;;address_16427;Dürer-Platz 10;street_63;Dürer-Platz;;;10;Vorderhaus;2.0;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-201.jpg, HEIGHT:52.0, WIDTH:280.0, VPOS:928.0, HPOS:2014.0
company_373;Willing F. Üinolfußbodenfabri kant;;;address_16428;Dürer-Platz 22;street_63;Dürer-Platz;;;22;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-201.jpg, HEIGHT:52.0, WIDTH:280.0, VPOS:928.0, HPOS:2014.0
company_390;Herrmann. Kofferfabrikant;;;address_16434;Enderleinstraße 3;street_69;Enderleinstraße;;;3;Vorderhaus;4.0;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-071.jpg, HEIGHT:55.0, WIDTH:364.0, VPOS:486.0, HPOS:1373.0
company_397;Ammon K. Tapeziermeister;;;address_16441;Enderleinstraße 29;street_69;Enderleinstraße;;;29;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-071.jpg, HEIGHT:55.0, WIDTH:364.0, VPOS:486.0, HPOS:1373.0
company_403;Fischer Schmdmstr.;;;address_16449;Ernststraße 2;street_75;Ernststraße;street_76;Troststraße;2;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-073.jpg, HEIGHT:53.0, WIDTH:256.0, VPOS:1906.0, HPOS:2669.0
company_406;Frornm Mann Weitzwarenhdl.;;;address_16449;Ernststraße 2;street_75;Ernststraße;street_76;Troststraße;2;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-073.jpg, HEIGHT:53.0, WIDTH:256.0, VPOS:1906.0, HPOS:2669.0
company_444;Merkel K. Feilenhauerei;;;address_16471;Ernststraße 48;street_75;Ernststraße;street_76;Troststraße;48;Hinterhaus;0.0;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-073.jpg, HEIGHT:53.0, WIDTH:256.0, VPOS:1906.0, HPOS:2669.0
company_448;Danner K. Schuhm.;;;address_16472;Ernststraße 8;street_75;Ernststraße;street_76;Troststraße;8;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-073.jpg, HEIGHT:53.0, WIDTH:256.0, VPOS:1906.0, HPOS:2669.0
company_457;G m. b. H. Vcrtr. v. Feuerlöschrcquisiten;;;address_16477;Feucrweg 5;street_82;Feucrweg;;;5;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_459;Erbel A. Mechaniker;;;address_16478;Feucrweg 10;street_82;Feucrweg;;;10;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_460;Th. Fabrikat von Schreibmaschinenzubehörden;;;address_16479;Feucrweg 14;street_82;Feucrweg;;;14;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_462;Bernardon. Mosaikfußbodenfabrikant;;;address_16473;Feucrweg 9;street_82;Feucrweg;;;9;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_463;Bauriedel P. Kunstmühlbes. u. Oblatenfbrkt. hint.;;;address_16474;Feucrweg 6;street_82;Feucrweg;;;6;Vorderhaus;;;;;;;;address_16481;Fischergasse 3;street_302;Fischergasse;;;3.0;
company_464;Richter. Mechnik.;;;address_16474;Feucrweg 6;street_82;Feucrweg;;;6;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_472;Raum Graphit u. Schnielztiegelfkt.;;;address_16485;Feucrweg 43;street_82;Feucrweg;;;43;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_478;H Beitelrock A. Gravieränstaltbesitzer;;;address_16486;Feucrweg 1;street_82;Feucrweg;;;1;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_495;H-HSchwarzenbergerLCo. Militäreffekten- Leinenu. Baumwollwfbk.;;;address_16492;Feucrweg 37;street_82;Feucrweg;;;37;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_504;Midas P. Maschinen u. Werkzeuge Eisen- und Metallwaren en ro und Export;;;address_16502;Franzstraße 5;street_88;Franzstraße;;;5;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_507;Kreutzer F. Großhändler  u.;;;address_16505;Franzstraße 49;street_88;Franzstraße;;;49;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_512;Schwemmer H. Buchdruckerei;;;address_16509;Franzstraße 46;street_88;Franzstraße;;;46;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_523;Schmidt, Dittmar C. Messingn. Messingwarenhdl.;;;address_16517;Friedenstraße 6;street_90;Friedenstraße;;;6;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_533;Kotthaus Busch Feilen- u. Werkzeugfabk.;;;address_16518;Friedenstraße 10;street_90;Friedenstraße;;;10;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_540;Lamm Gebr. Schuhwarenh.;;;address_16520;Friedenstraße 1;street_90;Friedenstraße;;;1;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_545;Ganzenmüller F. Spielwarenhandl.;;;address_16518;Friedenstraße 10;street_90;Friedenstraße;;;10;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_569;Schlegel G. Toilettenart. eu u. Fabrikat. (Ludwigsapvthekc);;;address_16532;Friedenstraße 38;street_90;Friedenstraße;;;38;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_572;H- Gutinann Schiffnie Spielwrnexpgcsch.;;;address_16533;Friedenstraße 40;street_90;Friedenstraße;;;40;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_575;Hainisch Erlanger Annoncenexpedition und Reklamebureau;;;address_16536;Friedenstraße 45;street_90;Friedenstraße;;;45;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_580;Friedmann B. Oelw. u. gem. Warenh.;;;address_16540;Friedenstraße 58;street_90;Friedenstraße;;;58;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_584;Lacken Farben und Dialerutensilien;;;address_16541;Friedenstraße 62;street_90;Friedenstraße;;;62;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_587;Schultheiß Di. Blechspielwarensabrik;;;address_16543;Friedenstraße 67;street_90;Friedenstraße;;;67;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_589;Berthold K. Kunstschlosserei H;;;address_16521;Friedenstraße 7;street_90;Friedenstraße;;;7;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_590;Muletz J. Wagrrerei;;;address_16544;Friedenstraße 88;street_90;Friedenstraße;;;88;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_592;EmmerichTH, Sattlermeister;;;address_16545;Friedenstraße 96;street_90;Friedenstraße;;;96;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_593;Jacobi F. Automobil- Motor-u. Fahrrdh.;;;address_16545;Friedenstraße 96;street_90;Friedenstraße;;;96;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_604;Frankenschwert Silbronitwerke;;;address_16554;Friedenstraße 188;street_90;Friedenstraße;;;188;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_610;Prüparaten;;;address_16560;Friedenstraße 16;street_90;Friedenstraße;;;16;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_612;Feistmann E. Lewald Häute- Felle- und Nauhwarenhndl.;;;address_16562;Friedenstraße 844;street_90;Friedenstraße;;;844;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_618;Prvdkt.;;;address_16563;Friedenstraße 394;street_90;Friedenstraße;;;394;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_626;Leutheuser H. C. Spielwaren-Erportgsch.;;;address_16516;Friedenstraße 8;street_90;Friedenstraße;;;8;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_635;Zick. Aluminiumschlägerei;;;address_16526;Friedenstraße 0;street_90;Friedenstraße;;;0;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_636;Schreinerei;;;address_16520;Friedenstraße 1;street_90;Friedenstraße;;;1;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_640;Stanz- u. Rohrziehwerke;;;address_16569;Friedenstraße 24;street_90;Friedenstraße;;;24;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_641;Rehm G. Schreinerei;;;address_16569;Friedenstraße 24;street_90;Friedenstraße;;;24;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_646;Niidel. Haiidel  in elektrot. Vedarfsart.;;;address_16521;Friedenstraße 7;street_90;Friedenstraße;;;7;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_649;Sohn u. Gewichtfb.;;;address_16524;Friedenstraße 14;street_90;Friedenstraße;;;14;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_650;Braun K. Meta  Lmfabnk;;;address_16524;Friedenstraße 14;street_90;Friedenstraße;;;14;Vorderhaus;2.0;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_658;Bureauart, Schreibmasch. u. Schreibmöbeln;;;address_16573;Friedenstraße 34;street_90;Friedenstraße;;;34;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-253.jpg, HEIGHT:50.0, WIDTH:312.0, VPOS:4378.0, HPOS:2014.0
company_678;Schreiber C. Nachf. Likör Essig Wein und Zigarren su eras;;;address_16575;Vioothcstraße 33;street_106;Vioothcstraße;;;33;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_682;Nürnberger Gold Silberpapierfabnk Buchstein;;;address_16590;Vioothcstraße 63;street_106;Vioothcstraße;;;63;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_684;Haßmann F. Lithogiph u. Steindr.;;;address_16590;Vioothcstraße 63;street_106;Vioothcstraße;;;63;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_692;Weber Getre d eg eschä ft u. Sackoerleihanst.;;;address_16578;Vioothcstraße 18;street_106;Vioothcstraße;;;18;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_710;Eckenberger. Schnellsohlerei;;;address_16606;I Straße 93;street_112;I Straße;;;93;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_752;Goldschmidts J. Glaslorze.-Manuf.;;;address_16628;Haslerstraße 137;street_119;Haslerstraße;street_120;Hillerstraße;137;Vorderhaus;2.0;;;;;;;address_16205;;;;;;;
company_754;Bergvld TH;;;address_16629;Haslerstraße 12;street_119;Haslerstraße;street_120;Hillerstraße;12;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_755;Groß Nachf. Buchh.;;;address_16631;Haslerstraße 2;street_119;Haslerstraße;street_120;Hillerstraße;2;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_757;Schumm,MchGen.-Anz. Erp.;;;address_16632;Haslerstraße 5;street_119;Haslerstraße;street_120;Hillerstraße;5;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_781;H-rAnskft. Bürgel;;;address_16635;Haslerstraße 17;street_119;Haslerstraße;street_120;Hillerstraße;17;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_803;Fuchs S. Weinwirt;;;address_16646;Haslerstraße 6;street_119;Haslerstraße;street_120;Hillerstraße;6;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_805;Kraft Bitlnerec Iordan vorm. G. F. Boß jr. Konditoreiwfbk.;;;address_16650;Haslerstraße 7;street_119;Haslerstraße;street_120;Hillerstraße;7;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_821;Gebert. Fensterfabribrikant;;;address_16660;Himpfelsliofstraße 30;street_127;Himpfelsliofstraße;street_128;Himpfelshofstraße;30;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_823;Gaßenmeier H. Buchbinder;;;address_16662;Himpfelsliofstraße 21;street_127;Himpfelsliofstraße;street_128;Himpfelshofstraße;21;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_829;Schwarzmann de Bär Handel mit Reklame- und Zugabeartikel;;;address_16666;Himpfelsliofstraße 13;street_127;Himpfelsliofstraße;street_128;Himpfelshofstraße;13;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_833;Phantasieu. Üurusarlikelh. eu;;;address_16668;Himpfelsliofstraße 10;street_127;Himpfelsliofstraße;street_128;Himpfelshofstraße;10;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_834;Schrvarz,-Riedelöl-Solch Fabrikation u. Handel mit chem. techn. Produkten;;;address_16668;Himpfelsliofstraße 10;street_127;Himpfelsliofstraße;street_128;Himpfelshofstraße;10;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_840;MohrL Krauß Fabrikation mech. Spielwaren (Eismann u. Compt.);;;address_16665;Himpfelsliofstraße 5;street_127;Himpfelsliofstraße;street_128;Himpfelshofstraße;5;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_842;Offenstadt Fellheimer Berlagsbuchhandl. u. Großantiquariati;;;address_16672;Himpfelsliofstraße 32;street_127;Himpfelsliofstraße;street_128;Himpfelshofstraße;32;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_901;Woelfel Kropf;;;address_16700;Jahnstraße 7;street_141;Jahnstraße;street_142;Jahnstraße;7;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_910;Arnold E. Möbel- und Jalousicfabrikt.;;;address_16709;Jahnstraße 34;street_141;Jahnstraße;street_142;Jahnstraße;34;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_911;Bartel. Kartonnagefabrikant;;;address_16709;Jahnstraße 34;street_141;Jahnstraße;street_142;Jahnstraße;34;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_917;Gundel B. Kupferschmied;;;address_16712;Jahnstraße 51;street_141;Jahnstraße;street_142;Jahnstraße;51;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_952;Warenabzahlungsgesch.;;;address_16713;Jahnstraße 10;street_141;Jahnstraße;street_142;Jahnstraße;10;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_955;Schmitt G. Schneidermeister;;;address_16729;Jahnstraße 14;street_141;Jahnstraße;street_142;Jahnstraße;14;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_960;Heimann H. Mauufakturrv. en Kros;;;address_16702;Jahnstraße 15;street_141;Jahnstraße;street_142;Jahnstraße;15;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_967;Nauck G. Nachf. Chokolade u. Konfitüren;;;address_16734;Jahnstraße 25;street_141;Jahnstraße;street_142;Jahnstraße;25;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_970;Seibold A.;;;address_16706;Jahnstraße 30;street_141;Jahnstraße;street_142;Jahnstraße;30;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_977;Schard,ch Glaser Munker Pinselfabrikation;;;address_16697;Jahnstraße 20;street_141;Jahnstraße;street_142;Jahnstraße;20;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_979;Junker J. Fettwarh.;;;address_16737;Iudengasse 36;street_145;Iudengasse;street_146;Judengasse;36;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_983;Schade H. Maler und Tüncher;;;address_16740;Iudengasse 15;street_145;Iudengasse;street_146;Judengasse;15;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_987;Backf A. cKoutzky. Damenfriseure;;;address_16743;Iudengasse 18;street_145;Iudengasse;street_146;Judengasse;18;Vorderhaus;0.0;;;;;;;address_16205;;;;;;;
company_993;Mel. H. Juwelier;;;address_16745;Iudengasse 7;street_145;Iudengasse;street_146;Judengasse;7;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_994;Körnlein K. Reiß  -eunpolterer;;;address_16745;Iudengasse 7;street_145;Iudengasse;street_146;Judengasse;7;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_995;CH Mechan.;;;address_16745;Iudengasse 7;street_145;Iudengasse;street_146;Judengasse;7;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_996;Lengenfelder G. Metal  Ucker;;;address_16745;Iudengasse 7;street_145;Iudengasse;street_146;Judengasse;7;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_997;K. Metalldreherei;;;address_16745;Iudengasse 7;street_145;Iudengasse;street_146;Judengasse;7;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_1006;Bildstein Herrenschneiderei Leuchs G. Chemiker;;;address_16749;Iudengasse 33;street_145;Iudengasse;street_146;Judengasse;33;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_1007;Merklein A. Juwelier;;;address_16749;Iudengasse 33;street_145;Iudengasse;street_146;Judengasse;33;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_1026;Breede E. Portefeuiller;;;address_16757;Iudengasse 19;street_145;Iudengasse;street_146;Judengasse;19;Vorderhaus;;;;;;;;address_16205;;;;;;;
